analysis_type,seed,fold,threshold,n_speakers,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp,selection_note,train_recall,train_specificity,train_precision,train_f1
fixed_global_sweep,45,2,0.25,38,0.8181818181818182,0.5,0.6923076923076923,0.75,0.8792613636363636,0.6842105263157895,0.6590909090909092,8,8,4,18,"8,8,4,18",,,,,
fixed_global_sweep,45,3,0.25,39,0.5,0.36,0.30434782608695654,0.3783783783783784,0.5414285714285715,0.41025641025641024,0.43,9,16,7,7,"9,16,7,7",,,,,
fixed_global_sweep,45,4,0.25,38,0.8333333333333334,0.35,0.5357142857142857,0.6521739130434783,0.7333333333333333,0.5789473684210527,0.5916666666666667,7,13,3,15,"7,13,3,15",,,,,
fixed_global_sweep,45,5,0.25,38,0.631578947368421,0.2631578947368421,0.46153846153846156,0.5333333333333333,0.6385041551246537,0.4473684210526316,0.4473684210526315,5,14,7,12,"5,14,7,12",,,,,
fixed_global_sweep,46,1,0.25,38,0.7058823529411765,0.3333333333333333,0.46153846153846156,0.5581395348837209,0.684873949579832,0.5,0.5196078431372549,7,14,5,12,"7,14,5,12",,,,,
fixed_global_sweep,46,2,0.25,37,0.8571428571428571,0.21739130434782608,0.4,0.5454545454545454,0.7795031055900621,0.4594594594594595,0.5372670807453416,5,18,2,12,"5,18,2,12",,,,,
fixed_global_sweep,46,3,0.25,39,0.7222222222222222,0.047619047619047616,0.3939393939393939,0.5098039215686274,0.6455026455026455,0.358974358974359,0.3849206349206349,1,20,5,13,"1,20,5,13",,,,,
fixed_global_sweep,46,4,0.25,38,0.8235294117647058,0.3333333333333333,0.5,0.6222222222222222,0.6666666666666667,0.5526315789473685,0.5784313725490196,7,14,3,14,"7,14,3,14",,,,,
fixed_global_sweep,46,5,0.25,39,0.5,0.6666666666666666,0.5625,0.5294117647058824,0.6666666666666666,0.5897435897435898,0.5833333333333333,14,7,9,9,"14,7,9,9",,,,,
fixed_global_sweep,42,1,0.225,38,0.8666666666666667,0.34782608695652173,0.4642857142857143,0.6046511627906976,0.8333333333333334,0.5526315789473685,0.6072463768115942,8,15,2,13,"8,15,2,13",,,,,
fixed_global_sweep,42,2,0.225,38,0.7857142857142857,0.20833333333333334,0.36666666666666664,0.5,0.7142857142857142,0.42105263157894735,0.49702380952380953,5,19,3,11,"5,19,3,11",,,,,
fixed_global_sweep,42,3,0.225,38,0.8636363636363636,0.4375,0.6785714285714286,0.76,0.8522727272727273,0.6842105263157895,0.6505681818181819,7,9,3,19,"7,9,3,19",,,,,
fixed_global_sweep,42,4,0.225,39,0.8125,0.2608695652173913,0.43333333333333335,0.5652173913043478,0.6603260869565218,0.48717948717948717,0.5366847826086957,6,17,3,13,"6,17,3,13",,,,,
fixed_global_sweep,42,5,0.225,38,0.5882352941176471,0.38095238095238093,0.43478260869565216,0.5,0.603641456582633,0.47368421052631576,0.484593837535014,8,13,7,10,"8,13,7,10",,,,,
fixed_global_sweep,43,1,0.225,38,1.0,0.21428571428571427,0.3125,0.47619047619047616,0.8071428571428572,0.42105263157894735,0.6071428571428571,6,22,0,10,"6,22,0,10",,,,,
fixed_global_sweep,43,2,0.225,38,0.6363636363636364,0.3125,0.56,0.5957446808510638,0.6136363636363636,0.5,0.4744318181818182,5,11,8,14,"5,11,8,14",,,,,
fixed_global_sweep,43,3,0.225,39,0.6842105263157895,0.7,0.6842105263157895,0.6842105263157895,0.7289473684210526,0.6923076923076923,0.6921052631578948,14,6,6,13,"14,6,6,13",,,,,
fixed_global_sweep,43,4,0.225,38,0.6875,0.3181818181818182,0.4230769230769231,0.5238095238095238,0.6931818181818182,0.47368421052631576,0.5028409090909091,7,15,5,11,"7,15,5,11",,,,,
fixed_global_sweep,43,5,0.225,38,0.7647058823529411,0.23809523809523808,0.4482758620689655,0.5652173913043478,0.6638655462184874,0.47368421052631576,0.5014005602240896,5,16,4,13,"5,16,4,13",,,,,
fixed_global_sweep,44,1,0.225,38,0.625,0.3181818181818182,0.4,0.4878048780487805,0.6335227272727273,0.4473684210526316,0.47159090909090906,7,15,6,10,"7,15,6,10",,,,,
fixed_global_sweep,44,2,0.225,37,0.7857142857142857,0.5652173913043478,0.5238095238095238,0.6285714285714286,0.7484472049689441,0.6486486486486487,0.6754658385093167,13,10,3,11,"13,10,3,11",,,,,
fixed_global_sweep,44,3,0.225,39,0.8571428571428571,0.24,0.3870967741935484,0.5333333333333333,0.7571428571428571,0.46153846153846156,0.5485714285714285,6,19,2,12,"6,19,2,12",,,,,
fixed_global_sweep,44,4,0.225,39,0.7894736842105263,0.3,0.5172413793103449,0.625,0.7052631578947368,0.5384615384615384,0.5447368421052632,6,14,4,15,"6,14,4,15",,,,,
fixed_global_sweep,44,5,0.225,38,0.7142857142857143,0.29411764705882354,0.5555555555555556,0.625,0.7226890756302521,0.5263157894736842,0.5042016806722689,5,12,6,15,"5,12,6,15",,,,,
fixed_global_sweep,45,1,0.225,38,0.7272727272727273,0.4444444444444444,0.34782608695652173,0.47058823529411764,0.7508417508417509,0.5263157894736842,0.5858585858585859,12,15,3,8,"12,15,3,8",,,,,
fixed_global_sweep,45,2,0.225,38,0.8181818181818182,0.5,0.6923076923076923,0.75,0.8792613636363636,0.6842105263157895,0.6590909090909092,8,8,4,18,"8,8,4,18",,,,,
fixed_global_sweep,45,3,0.225,39,0.5,0.36,0.30434782608695654,0.3783783783783784,0.5414285714285715,0.41025641025641024,0.43,9,16,7,7,"9,16,7,7",,,,,
fixed_global_sweep,45,4,0.225,38,0.8333333333333334,0.35,0.5357142857142857,0.6521739130434783,0.7152777777777778,0.5789473684210527,0.5916666666666667,7,13,3,15,"7,13,3,15",,,,,
fixed_global_sweep,45,5,0.225,38,0.631578947368421,0.2631578947368421,0.46153846153846156,0.5333333333333333,0.6385041551246537,0.4473684210526316,0.4473684210526315,5,14,7,12,"5,14,7,12",,,,,
